# q    Mrad_frac
2.957616658993253989e-01 2.588236054023198424e-02
2.930446976972143625e-01 2.566652847804093071e-02
2.903526884977814526e-01 2.545159660633274090e-02
2.876854090190593682e-01 2.523758208846644049e-02
2.850426320853435280e-01 2.502450152794082755e-02
2.824241326078434922e-01 2.481237097540017061e-02
2.798296875655116311e-01 2.460120593576093154e-02
2.772590759860483201e-01 2.439102137544935447e-02
2.747120789270812158e-01 2.418183172974224318e-02
2.721884794575179511e-01 2.397365091019793351e-02
2.696880626390694147e-01 2.376649231216916222e-02
2.672106155079435053e-01 2.356036882239038663e-02
2.647559270567068079e-01 2.335529282662747452e-02
2.623237882163123591e-01 2.315127621738369626e-02
2.599139918382934455e-01 2.294833040165173213e-02
2.575263326771201067e-01 2.274646630870506836e-02
2.551606073727185064e-01 2.254569439792035793e-02
2.528166144331500664e-01 2.234602466662210032e-02
2.504941542174503599e-01 2.214746665794436326e-02
2.481930289186255190e-01 2.195002946870189958e-02
2.459130425468045167e-01 2.175372175726153143e-02
2.436540009125466033e-01 2.155855175141212568e-02
2.414157116103019252e-01 2.136452725622206214e-02
2.391979840020239945e-01 2.117165566188134590e-02
2.370006292009329552e-01 2.097994395152198710e-02
2.348234600554276186e-01 2.078939870901052797e-02
2.326662911331459083e-01 2.060002612670828667e-02
2.305289387051708272e-01 2.041183201319498111e-02
2.284112207303824194e-01 2.022482180094883203e-02
2.263129568399529778e-01 2.003900055398219124e-02
2.242339683219846391e-01 1.985437297542518020e-02
2.221740781062884751e-01 1.967094341505586097e-02
2.201331107493031125e-01 1.948871587677146466e-02
2.181108924191519916e-01 1.930769402599906773e-02
2.161072508808377646e-01 1.912788119704060888e-02
2.141220154815729748e-01 1.894928040035083125e-02
2.121550171362451831e-01 1.877189432974319186e-02
2.102060883130158764e-01 1.859572536952455724e-02
2.082750630190515762e-01 1.842077560155246443e-02
2.063617767863859254e-01 1.824704681221490585e-02
2.044660666579117270e-01 1.807454049933085102e-02
2.025877711735017683e-01 1.790325787896762319e-02
2.007267303562569605e-01 1.773319989217583131e-02
1.988827856988810150e-01 1.756436721163851314e-02
1.970557801501799933e-01 1.739676024823395839e-02
1.952455581016861452e-01 1.723037915751135171e-02
1.934519653744045942e-01 1.706522384607595325e-02
1.916748492056815634e-01 1.690129397788737650e-02
1.899140582361935059e-01 1.673858898046361871e-02
1.881694424970555835e-01 1.657710805099782067e-02
1.864408533970486614e-01 1.641685016238057099e-02
1.847281437099634605e-01 1.625781406913034619e-02
1.830311675620612533e-01 1.609999831323278771e-02
1.813497804196495811e-01 1.594340122988640446e-02
1.796838390767720728e-01 1.578802095315481185e-02
1.780332016430114239e-01 1.563385542152772797e-02
1.763977275314044801e-01 1.548090238338844030e-02
1.747772774464681489e-01 1.532915940238794433e-02
1.731717133723354174e-01 1.517862386272895471e-02
1.715808985610005333e-01 1.502929297435556984e-02
1.700046975206718214e-01 1.488116377805297902e-02
1.684429760042316093e-01 1.473423315045593526e-02
1.668956009978024846e-01 1.458849780896613949e-02
1.653624407094181348e-01 1.444395431658079994e-02
1.638433645577984654e-01 1.430059908663011518e-02
1.623382431612279131e-01 1.415842838742861418e-02
1.608469483265356770e-01 1.401743834683728124e-02
1.593693530381775358e-01 1.387762495673854415e-02
1.579053314474175851e-01 1.373898407742629550e-02
1.564547588616096718e-01 1.360151144190979190e-02
1.550175117335770292e-01 1.346520266013385460e-02
1.535934676510897767e-01 1.333005322311493074e-02
1.521825053264387051e-01 1.319605850699616736e-02
1.507845045861051780e-01 1.306321377701934183e-02
1.493993463605257921e-01 1.293151419141850070e-02
1.480269126739509333e-01 1.280095480523215160e-02
1.466670866343968427e-01 1.267153057403945168e-02
1.453197524236896077e-01 1.254323635761736035e-02
1.439847952876008030e-01 1.241606692352277726e-02
1.426621015260737535e-01 1.229001695060020355e-02
1.413515584835395578e-01 1.216508103241352445e-02
1.400530545393220416e-01 1.204125368060786697e-02
1.387664790981308627e-01 1.191852932819756523e-02
1.374917225806419896e-01 1.179690233278478211e-02
1.362286764141646955e-01 1.167636697970849020e-02
1.349772330233942608e-01 1.155691748512552471e-02
1.337372858212496629e-01 1.143854799902399577e-02
1.325087291997953665e-01 1.132125260817090813e-02
1.312914585212465735e-01 1.120502533899511363e-02
1.300853701090571579e-01 1.108986016040688569e-02
1.288903612390893128e-01 1.097575098655326556e-02
1.277063301308644372e-01 1.086269167951343234e-02
1.265331759388943211e-01 1.075067605193368026e-02
1.253707987440920713e-01 1.063969786960100757e-02
1.242190995452617658e-01 1.052975085396056464e-02
1.230779802506665466e-01 1.042082868457470078e-02
1.219473436696738577e-01 1.031292500152616691e-02
1.208270935044776784e-01 1.020603340776531781e-02
1.197171343418967082e-01 1.010014747140445396e-02
1.186173716452478960e-01 9.995260727957032063e-03
1.175277117462945609e-01 9.891366682527404780e-03
1.164480618372686488e-01 9.788458811946298271e-03
1.153783299629661113e-01 9.686530566857811178e-03
1.143184250129150037e-01 9.585575373756824794e-03
1.132682567136154006e-01 9.485586636978097716e-03
1.122277356208507965e-01 9.386557740636618241e-03
1.111967731120699215e-01 9.288482050523896513e-03
1.101752813788387103e-01 9.191352915955377373e-03
1.091631734193614922e-01 9.095163671575789630e-03
1.081603630310710301e-01 8.999907639119016090e-03
1.071667648032863657e-01 8.905578129124904277e-03
1.061822941099384299e-01 8.812168442615017985e-03
1.052068671023623364e-01 8.719671872724319914e-03
1.042404007021556778e-01 8.628081706295632342e-03
1.032828125941028935e-01 8.537391225430467773e-03
1.023340212191642257e-01 8.447593709003768658e-03
1.013939457675292199e-01 8.358682434138557660e-03
1.004625061717341200e-01 8.270650677643516871e-03
9.953962309984239198e-02 8.183491717412892316e-03
9.862521794868785163e-02 8.097198833791167949e-03
9.771921283718000562e-02 8.011765310901496073e-03
9.682153059967085751e-02 7.927184437939729933e-03
9.593209477938245688e-02 7.843449510433231006e-03
9.505082962189512208e-02 7.760553831467831114e-03
9.417766006869524031e-02 7.678490712880403635e-03
9.331251175078249249e-02 7.597253476419325857e-03
9.245531098233575329e-02 7.516835454873955699e-03
9.160598475443708366e-02 7.437229993172849579e-03
9.076446072885360761e-02 7.358430449450992054e-03
8.993066723187621847e-02 7.280430196087052906e-03
8.910453324821517029e-02 7.203222620712779363e-03
8.828598841495149951e-02 7.126801127191270853e-03
8.747496301554420761e-02 7.051159136568827847e-03
8.667138797389233040e-02 6.976290087998648741e-03
8.587519484845175521e-02 6.902187439637117242e-03
8.508631582640581448e-02 6.828844669513074034e-03
8.430468371788971127e-02 6.756255276371518625e-03
8.353023195026779146e-02 6.684412780492436992e-03
8.276289456246346821e-02 6.613310724481493742e-03
8.200260619934129913e-02 6.542942674039977854e-03
8.124930210614052239e-02 6.473302218707174989e-03
8.050291812295980176e-02 6.404382972581004578e-03
7.976339067929276438e-02 6.336178575014343901e-03
7.903065678861347088e-02 6.268682691288205745e-03
7.830465404301187315e-02 6.201889013263723813e-03
7.758532060787835805e-02 6.135791260011132231e-03
7.687259521663732109e-02 6.070383178416278655e-03
7.616641716552892405e-02 6.005658543768391082e-03
7.546672630843891116e-02 5.941611160324527380e-03
7.477346305177588748e-02 5.878234861854991430e-03
7.408656834939567060e-02 5.815523512168283872e-03
7.340598369757216080e-02 5.753471005616148624e-03
7.273165113001461846e-02 5.692071267580303337e-03
7.206351321293055778e-02 5.631318254938975053e-03
7.140151304013403477e-02 5.571205956515968075e-03
7.074559422819881593e-02 5.511728393510395736e-03
7.009570091165624739e-02 5.452879619910504759e-03
6.945177773823699163e-02 5.394653722887454879e-03
6.881376986415670138e-02 5.337044823174323833e-03
6.818162294944482560e-02 5.280047075426353050e-03
6.755528315331646438e-02 5.223654668566695379e-03
6.693469712958664830e-02 5.167861826113693234e-03
6.631981202212675064e-02 5.112662806494796749e-03
6.571057546036274122e-02 5.058051903342572660e-03
6.510693555481461559e-02 5.004023445777505859e-03
6.450884089267695798e-02 4.950571798674588235e-03
6.391624053344005518e-02 4.897691362915992420e-03
6.332908400455117270e-02 4.845376575628961360e-03
6.274732129711581285e-02 4.793621910410621537e-03
6.217090286163829554e-02 4.742421877537310315e-03
6.159977960380168954e-02 4.691771024162108041e-03
6.103390288028624766e-02 4.641663934499149803e-03
6.047322449462648464e-02 4.592095229993731556e-03
5.991769669310621771e-02 4.543059569481045119e-03
5.936727216069126456e-02 4.494551649332407563e-03
5.882190401699959048e-02 4.446566203588702207e-03
5.828154581230846065e-02 4.399098004082589025e-03
5.774615152359822284e-02 4.352141860549778481e-03
5.721567555063251237e-02 4.305692620727512646e-03
5.669007271207436582e-02 4.259745170443096814e-03
5.616929824163809787e-02 4.214294433691491946e-03
5.565330778427649006e-02 4.169335372701965352e-03
5.514205739240302107e-02 4.124862987995215127e-03
5.463550352214879141e-02 4.080872318429129564e-03
5.413360302965380955e-02 4.037358441236307480e-03
5.363631316739242427e-02 3.994316472050769493e-03
5.314359158053241078e-02 3.951741564925441430e-03
5.265539630332758542e-02 3.909628912341531377e-03
5.217168575554349125e-02 3.867973745207251620e-03
5.169241873891601557e-02 3.826771332849858865e-03
5.121755443364241212e-02 3.786016982996897977e-03
5.074705239490467923e-02 3.745706041751759724e-03
5.028087254942480155e-02 3.705833893558576481e-03
4.981897519205161912e-02 3.666395961161583728e-03
4.936132098237917126e-02 3.627387705555094096e-03
4.890787094139592561e-02 3.588804625926797932e-03
4.845858644816496141e-02 3.550642259594241189e-03
4.801342923653453137e-02 3.512896181932774128e-03
4.757236139187889790e-02 3.475562006298389510e-03
4.713534534786909674e-02 3.438635383943022990e-03
4.670234388327335062e-02 3.402112003923036913e-03
4.627332011878693141e-02 3.365987593002017688e-03
4.584823751389098534e-02 3.330257915547463025e-03
4.542705986374048072e-02 3.294918773420789631e-03
4.500975129608048714e-02 3.259966005862935563e-03
4.459627626819095969e-02 3.225395489372573539e-03
4.418659956385943832e-02 3.191203137581055584e-03
4.378068629038171095e-02 3.157384901119684138e-03
4.337850187558991294e-02 3.123936767484280889e-03
4.298001206490798670e-02 3.090854760892938150e-03
4.258518291843416820e-02 3.058134942140498108e-03
4.219398080805027845e-02 3.025773408446923250e-03
4.180637241455759795e-02 2.993766293302826606e-03
4.142232472483897698e-02 2.962109766309737116e-03
4.104180502904711259e-02 2.930800033016112312e-03
4.066478091781858262e-02 2.899833334749928396e-03
4.029122027951350521e-02 2.869205948447443952e-03
3.992109129748053209e-02 2.838914186477268196e-03
3.955436244734703705e-02 2.808954396462297678e-03
3.919100249433405542e-02 2.779322961097392512e-03
3.883098049059607176e-02 2.750016297963355904e-03
3.847426577258505898e-02 2.721030859339208449e-03
3.812082795843890065e-02 2.692363132009489846e-03
3.777063694539368327e-02 2.664009637070847633e-03
3.742366290721982347e-02 2.635966929733797332e-03
3.707987629168172511e-02 2.608231599123058807e-03
3.673924781802075795e-02 2.580800268075336083e-03
3.640174847446141226e-02 2.553669592933829370e-03
3.606734951574030318e-02 2.526836263341607387e-03
3.573602246065787913e-02 2.500297002031999418e-03
3.540773908965271638e-02 2.474048564617277370e-03
3.508247144239792087e-02 2.448087739374784754e-03
3.476019181541979003e-02 2.422411347032493636e-03
3.444087275973823498e-02 2.397016240551152859e-03
3.412448707852891450e-02 2.371899304906577213e-03
3.381100782480685185e-02 2.347057456868668814e-03
3.350040829913134011e-02 2.322487644780295377e-03
3.319266204733190007e-02 2.298186848334324902e-03
3.288774285825511734e-02 2.274152078348805513e-03
3.258562476153226833e-02 2.250380376542864339e-03
3.228628202536731884e-02 2.226868815309046741e-03
3.198968915434537846e-02 2.203614497486370248e-03
3.169582088726116686e-02 2.180614556132240943e-03
3.140465219496751947e-02 2.157866154293088760e-03
3.111615827824361358e-02 2.135366484774579073e-03
3.083031456568276901e-02 2.113112769910827689e-03
3.054709671159969858e-02 2.091102261334469754e-03
3.026648059395692369e-02 2.069332239743460009e-03
2.998844231231029278e-02 2.047800014670428728e-03
2.971295818577334227e-02 2.026502924249626823e-03
2.944000475100035097e-02 2.005438334984859308e-03
2.916955876018795940e-02 1.984603641516287289e-03
2.890159717909511830e-02 1.963996266387510979e-03
2.863609718508117533e-02 1.943613659812939379e-03
2.837303616516214516e-02 1.923453299444446334e-03
2.811239171408465645e-02 1.903512690138171653e-03
2.785414163241769006e-02 1.883789363722741025e-03
2.759826392466182068e-02 1.864280878764645964e-03
2.734473679737582652e-02 1.844984820338169173e-03
2.709353865732053168e-02 1.825898799790905873e-03
2.684464810961965237e-02 1.807020454513690250e-03
2.659804395593759474e-02 1.788347447708247238e-03
2.635370519267395822e-02 1.769877468156266787e-03
2.611161100917460884e-02 1.751608229988903557e-03
2.587174078595923937e-02 1.733537472456987433e-03
2.563407409296516309e-02 1.715662959701234024e-03
2.539859068780726467e-02 1.697982480524160617e-03
2.516527051405392790e-02 1.680493848160722345e-03
2.493409369951880492e-02 1.663194900052076272e-03
2.470504055456826734e-02 1.646083497618349096e-03
2.447809157044442477e-02 1.629157526032969355e-03
2.425322741760354076e-02 1.612414893997282618e-03
2.403042894406969346e-02 1.595853533516589139e-03
2.380967717380359783e-02 1.579471399677174863e-03
2.359095330508636026e-02 1.563266470423059235e-03
2.337423870891816233e-02 1.547236746335443110e-03
2.315951492743154386e-02 1.531380250411871298e-03
2.294676367231937575e-02 1.515695027847101424e-03
2.273596682327717541e-02 1.500179145814399756e-03
2.252710642645981351e-02 1.484830693248540088e-03
2.232016469295234826e-02 1.469647780629799224e-03
2.211512399725489714e-02 1.454628539768521023e-03
2.191196687578149740e-02 1.439771123591810894e-03
2.171067602537266050e-02 1.425073705930230946e-03
2.151123430182167243e-02 1.410534481306910956e-03
2.131362471841438677e-02 1.396151664726943400e-03
2.111783044448244454e-02 1.381923491468342114e-03
2.092383480396977843e-02 1.367848216874847358e-03
2.073162127401231153e-02 1.353924116148874646e-03
2.054117348353065239e-02 1.340149484146309095e-03
2.035247521183577643e-02 1.326522635173432631e-03
2.016551038724747474e-02 1.313041902783709152e-03
1.998026308572550813e-02 1.299705639576558339e-03
1.979671752951333435e-02 1.286512216998403259e-03
1.961485808579431500e-02 1.273460025143293610e-03
1.943466926536021461e-02 1.260547472556510298e-03
1.925613572129198856e-02 1.247772986038739882e-03
1.907924224765266200e-02 1.235135010451529018e-03
1.890397377819221653e-02 1.222632008525152995e-03
1.873031538506437707e-02 1.210262460666626733e-03
1.855825227755518794e-02 1.198024864770133114e-03
1.838776980082328094e-02 1.185917736028585610e-03
1.821885343465166895e-02 1.173939606746188160e-03
1.805148879221108935e-02 1.162089026153267967e-03
1.788566161883462652e-02 1.150364560221817144e-03
1.772135779080360324e-02 1.138764791483168944e-03
1.755856331414469562e-02 1.127288318847234801e-03
1.739726432343802545e-02 1.115933757421316798e-03
1.723744708063620554e-02 1.104699738333891857e-03
1.707909797389428608e-02 1.093584908555982277e-03
1.692220351641038345e-02 1.082587930728067189e-03
1.676675034527700878e-02 1.071707482983868046e-03
1.661272522034293667e-02 1.060942258780244243e-03
1.646011502308551352e-02 1.050290966725526617e-03
1.630890675549333257e-02 1.039752330410266329e-03
1.615908753895918884e-02 1.029325088239403403e-03
1.601064461318318574e-02 1.019007993266427600e-03
1.586356533508591349e-02 1.008799813028389298e-03
1.571783717773163683e-02 9.986993293824753155e-04
1.557344772926135164e-02 9.887053383444311273e-04
1.543038469183565485e-02 9.788166499281204108e-04
1.528863588058731147e-02 9.690320879870739949e-04
1.514818922258346669e-02 9.593504900563231937e-04
1.500903275579736594e-02 9.497707071976436077e-04
1.487115462808954493e-02 9.402916038445141046e-04
1.473454309619835929e-02 9.309120576492091849e-04
1.459918652473979339e-02 9.216309593314520564e-04
1.446507338521647174e-02 9.124472125287752186e-04
1.433219225503574827e-02 9.033597336475906580e-04
1.420053181653683182e-02 8.943674517163913672e-04
1.407008085602685921e-02 8.854693082396636675e-04
1.394082826282578430e-02 8.766642570543581401e-04
1.381276302832010021e-02 8.679512641870701676e-04
1.368587424502519176e-02 8.593293077122154478e-04
1.356015110565633904e-02 8.507973776126220855e-04
1.343558290220826269e-02 8.423544756409740005e-04
1.331215902504308442e-02 8.339996151825346694e-04
1.318986896198670600e-02 8.257318211201436801e-04
1.306870229743346823e-02 8.175501296989295518e-04
1.294864871145904976e-02 8.094535883942910980e-04
1.282969797894148098e-02 8.014412557804462614e-04
1.271183996869029026e-02 7.935122013994088839e-04
1.259506464258358313e-02 7.856655056336592441e-04
1.247936205471311330e-02 7.779002595769668980e-04
1.236472235053715646e-02 7.702155649103304118e-04
1.225113576604119035e-02 7.626105337756427637e-04
1.213859262690628396e-02 7.550842886533359844e-04
1.202708334768511945e-02 7.476359622397410866e-04
1.191659843098559490e-02 7.402646973268644636e-04
1.180712846666190363e-02 7.329696466823065358e-04
1.169866413101307463e-02 7.257499729320215486e-04
1.159119618598885779e-02 7.186048484425100078e-04
1.148471547840289667e-02 7.115334552058528083e-04
1.137921293915315074e-02 7.045349847257397933e-04
1.127467958244946639e-02 6.976086379030733064e-04
1.117110650504824637e-02 6.907536249262591832e-04
1.106848488549413111e-02 6.839691651582313668e-04
1.096680598336869164e-02 6.772544870294438645e-04
1.086606113854598002e-02 6.706088279278787619e-04
1.076624177045493874e-02 6.640314340937436294e-04
1.066733937734858258e-02 6.575215605127481900e-04
1.056934553557989029e-02 6.510784708115125276e-04
1.047225189888435423e-02 6.447014371553905741e-04
1.037605019766912190e-02 6.383897401450156460e-04
1.028073223830865829e-02 6.321426687163978278e-04
1.018628990244688053e-02 6.259595200400269255e-04
1.009271514630571964e-02 6.198395994232441808e-04
1.000000000000000021e-02 6.137822202119025319e-04
